number,name,symbol,name_symbol,pronunciation,appearance,atomic_number,group_block,period,element_category,atomic_weight,electron_configuration,per_shell,color,phase,melting_point,boiling_point,density_at_stp,when_liquid_at_mp,when_liquid_at_bp,triple_point,critical_point,heat_of_fusion,heat_of_vaporization,molar_heat_capacity,p_(pa),oxidation_states,electronegativity,ionization_energies,covalent_radius,van_der_waals_radius,crystal_structure,speed_of_sound,thermal_conductivity,magnetic_ordering,cas_number,discovery,named_by,iso,at_t_(k),naming,first_isolation,density_near_rt,atomic_radius,speed_of_sound_thin_rod,thermal_expansion,electrical_resistivity,youngs_modulus,shear_modulus,bulk_modulus,mohs_hardness,brinell_hardness,poisson_ratio,vickers_hardness,allotropes,density_when_liquid_at_mp,sublimation_point,recognized_as_an_element_by,heat_of_vaporisation,ionisation_energies,prediction,discovery_and_first_isolation,alternative_name,band_gap,recognised_as_an_element_by,curie_point,recognized_as_a_unique_metal_by,recognized_as_a_distinct_element_by,thermal_diffusivity,tensile_strength,molar_volume,proposed_formal_name,alternative_names
1,hydrogen,h,"hydrogen, h","/?ha?dr?d??n/, hy-dr?-j?n",colorless gas,1,"group 1, s-block",1,diatomic nonmetal,1.008,1s1,1,colorless,gas,13.99,20.271,0.08988,0.07,0.07099,13.8033,32.938,(h2) 0.117 kj/mol,(h2) 0.904 kj/mol,(h2) 28.836 j/(mol·k),"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 15, 20","?1, +1 (an amphoteric oxide)",pauling scale: 2.20,1st: 1312.0 kj/mol,31±5 pm,120,hexagonal,1310,0.1805,diamagnetic,1333-74-0,henry cavendish (1766),antoine lavoisier (1783),"iso, na, half-life, dm, de (mev), dp, 1h, 99.98%, 1h is stable with 0 neutrons, 2h, 0.02%, 2h is stable with 1 neutron, 3h, trace, 12.32 y, ??, 0.01861, 3he",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,helium,he,"helium, he","/?hi?li?m/, hee-lee-?m","colorless gas, exhibiting a red-orange glow when placed in a high-voltage electric field",2,"group 18 (noble gases), s-block",1,noble gas,4.0026022,1s2,2,,gas,0.95,4.222,0.1786,0.145,0.125,2.177,5.1953,0.0138,0.0829,20.78,"vapor pressure (defined by its-90), p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1.23, 1.67, 2.48, 4.21",0,pauling scale: no data,"1st: 2372.3 kj/mol, 2nd: 5250.5 kj/mol",28,140,hexagonal close-packed (hcp),972,0.1513,diamagnetic,7440-59-7,"pierre janssen, norman lockyer (1868)",,"iso, na, half-life, dm, de (mev), dp, 3he, 0.0002%, 3he is stable with 1 neutron, 4he, 99.9998%, 4he is stable with 2 neutrons",,"after helios, greek god of the sun","william ramsay, per teodor cleve, abraham langlet (1895)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,lithium,li,"lithium, li","/?l??i?m/, li-thee-?m",silvery-white,3,"group 1 (alkali metals), s-block",2,alkali metal,6.94,[he] 2s1,2,,solid,453.65,1603,,0.512,,,3220,3,136,24.86,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 797, 885, 995, 1144, 1337, 1610",+1 (a strongly basic oxide),pauling scale: 0.98,"1st: 520.2 kj/mol, 2nd: 7298.1 kj/mol, 3rd: 11815.0 kj/mol",128±7 pm,182,body-centered cubic (bcc),,84.8,paramagnetic,7439-93-2,johan august arfwedson (1817),,"iso, na, half-life, dm, de (mev), dp, 6li, 5%, 6li is stable with 3 neutrons, 7li, 95%, 7li is stable with 4 neutrons",797,,william thomas brande (1821),0.534,empirical: 152 pm,6000,46,92.8,4.9,4.2,11,0.6,5,,,,,,,,,,,,,,,,,,,,,
4,beryllium,be,"beryllium, be","/b??r?li?m/, b?-ril-ee-?m",white-gray metallic,4,"group 2 (alkaline earth metals), s-block",2,alkaline earth metal,9.01218315,[he] 2s2,2,,solid,1560,2742,,1.69,,,5205,12.2,292,16.443,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 1462, 1608, 1791, 2023, 2327, 2742","+2, +1 (an amphoteric oxide)",pauling scale: 1.57,"1st: 899.5 kj/mol, 2nd: 1757.1 kj/mol, 3rd: 14,848.7 kj/mol, (more)",96±3 pm,153,hexagonal close-packed (hcp),,200,diamagnetic,7440-41-7,louis nicolas vauquelin (1797),,"iso, na, half-life, dm, de (mev), dp, 7be, trace, 53.12 d, ?, 0.862, 7li, ?, 0.477, –, 9be, 100%, 9be is stable with 5 neutrons, 10be, trace, 1.36×106 y, ??, 0.556, 10b",1462,,friedrich wöhler & antoine bussy (1828),1.85,empirical: 112 pm,12890,11.3,36,287,132,130,5.5,590–1320 mpa,0.032,1670,,,,,,,,,,,,,,,,,,,
5,boron,b,"boron, b",/?b??r?n/,black-brown,5,"group 13, p-block",2,metalloid,10.81,[he] 2s2 2p1,2,,solid,2349,4200,,,,,,50.2,508,11.087,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 2348, 2562, 2822, 3141, 3545, 4072",3,pauling scale: 2.04,"1st: 800.6 kj/mol, 2nd: 2427.1 kj/mol, 3rd: 3659.7 kj/mol, (more)",84±3 pm,192,rhombohedral,,27.4,diamagnetic,7440-42-8,joseph louis gay-lussac and louis jacques thénard (30 june 1808),,"iso, na, half-life, dm, de (mev), dp, 10b, 20%, 10b is stable with 5 neutrons, 11b, 80%, 11b is stable with 6 neutrons",2348,,humphry davy (9 july 1808),,empirical: 90 pm,16200,? form: 5–7 μm/(m·k) (at 25 °c),~106 ?·m (at 20 °c),,,,~9.5,,,,"?-, ?-rhombohedral, ?-tetragonal (and more)",2.08,,,,,,,,,,,,,,,,,
6,carbon,c,"carbon, c","/?k??rb?n/, kar-b?n","graphite: black, diamond: clear",6,"group 14 (carbon group), p-block",2,"polyatomic nonmetal, sometimes considered a metalloid",12.011,[he] 2s2 2p2,2,,solid,,,,,,4600,,graphite: 117 kj/mol,,"graphite: 8.517 j/(mol·k), diamond: 6.155 j/(mol·k)",,"+4, +3, +2, +1, 0, ?1, ?2, ?3, ?4 (a mildly acidic oxide)",pauling scale: 2.55,"1st: 1086.5 kj/mol, 2nd: 2352.6 kj/mol, 3rd: 4620.5 kj/mol, (more)","sp3: 77 pm, sp2: 73 pm, sp: 69 pm",170,diamond: face-centered diamond-cubic,,"graphite: 119–165 w/(m·k), diamond: 900–2300 w/(m·k)",diamagnetic,7440-44-0,egyptians and sumerians (3750 bce),,"iso, na, half-life, dm, de (mev), dp, 11c, syn, 20 min, ?+, 0.96, 11b, 12c, 98.9%, 12c is stable with 6 neutrons, 13c, 1.1%, 13c is stable with 7 neutrons, 14c, trace, 5730 y, ??, 0.156, 14n",,,,"amorphous: 1.8–2.1 g/cm3, graphite: 2.267 g/cm3, diamond: 3.515 g/cm3",,"diamond: 18,350 m/s (at 20 °c)",diamond: 0.8 μm/(m·k) (at 25 °c),graphite: 7.837 μ?·m,diamond: 1050 gpa,diamond: 478 gpa,diamond: 442 gpa,"graphite: 1–2, diamond: 10",,diamond: 0.1,,"graphite, diamond",,3915,antoine lavoisier (1789),,,,,,,,,,,,,,,
7,nitrogen,n,"nitrogen, n","/?na?tr?d??n/, ny-tr?-j?n","colorless gas, liquid or solid",7,"group 15 (pnictogens), p-block",2,diatomic nonmetal,14.007,[he] 2s2 2p3,2,,gas,63.15,77.355,1.251,,0.808,63.151,126.192,(n2) 0.72 kj/mol,,(n2) 29.124 j/(mol·k),"vapour pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 37, 41, 46, 53, 62, 77",5,pauling scale: 3.04,,71±1 pm,155,hexagonal,353,25.83×10?3 w/(m·k),diamagnetic,7727-37-9,daniel rutherford (1772),jean-antoine chaptal (1790),"iso, na, half-life, dm, de (mev), dp, 13n, syn, 9.965 min, ?, 2.220, 13c, 14n, 99.6%, 14n is stable with 7 neutrons, 15n, 0.4%, 15n is stable with 8 neutrons",37,,,,,,,,,,,,,,,,,,,(n2) 5.56 kj/mol,"1st: 1402.3 kj/mol, 2nd: 2856 kj/mol, 3rd: 4578.1 kj/mol, (more)",,,,,,,,,,,,,
8,oxygen,o,"oxygen, o","/??ks?d??n/, ok-si-j?n","gas: colorless, liquid: pale blue",8,"group 16 (chalcogens), p-block",2,diatomic nonmetal,15.999,[he] 2s2 2p4,2,,gas,54.36,90.188,1.429,,1.141,54.361,154.581,(o2) 0.444 kj/mol,(o2) 6.82 kj/mol,(o2) 29.378 j/(mol·k),"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 61, 73, 90",2,pauling scale: 3.44,"1st: 1313.9 kj/mol, 2nd: 3388.3 kj/mol, 3rd: 5300.5 kj/mol, (more)",66±2 pm,152,cubic,330,26.58×10?3  w/(m·k),paramagnetic,7782-44-7,carl wilhelm scheele (1772),antoine lavoisier (1777),"iso, na, half-life, dm, de (mev), dp, 16o, 99.76%, 16o is stable with 8 neutrons, 17o, 0.04%, 17o is stable with 9 neutrons, 18o, 0.20%, 18o is stable with 10 neutrons",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,fluorine,f,"fluorine, f","/?fl??ri?n/, /?fl??r?n/, /?fl??ri?n/
floor-een, floor-in, flohr-een","gas: very pale yellow
liquid: bright yellow
solid: alpha is opaque, beta is transparent",9,"group 17 (halogens), p-block",2,diatomic nonmetal,18.99840316,[he] 2s2 2p5,2,,gas,53.48,85.03,1.696,,1.505,53.48,144.41,,6.51,"cp: 31 j/(mol·k) (at 21.1 °c), cv: 23 j/(mol·k) (at 21.1 °c)","vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 38, 44, 50, 58, 69, 85",?1 (oxidizes oxygen),pauling scale: 3.98,"1st: 1681 kj/mol, 2nd: 3374 kj/mol, 3rd: 6147 kj/mol, (more)",64,135,cubic,,0.02591,diamagnetic (?1.2×10?4),7782-41-4,andré-marie ampère (1810),humphry davy,"iso, na, half-life, dm, de (mev), dp, 18f, trace, 109.77 min, ?+ (96.9%), 0.634, 18o, ? (3.1%), 1.656, 18o, 19f, 100%, 19f is stable with 10 neutrons",38,"after the mineral fluorite, itself named after latin fluo (to flow, in smelting)","henri moissan (june 26, 1886)",,,,,,,,,,,,,"alpha, beta",,,,,,,,,,,,,,,,,,
10,neon,ne,"neon, ne",/?ni??n/,colorless gas exhibiting an orange-red glow when placed in a high voltage electric field,10,"group 18 (noble gases), p-block",2,noble gas,20.17976,[he] 2s2 2p6,2,,gas,24.56,27.104,0.9002,,1.207,24.556,44.4918,0.335,1.71,20.79,"vapor pressure, p (pa), 1, 10, 100, 1 k, 10 k, 100 k, at t (k), 12, 13, 15, 18, 21, 27",0,,"1st: 2080.7 kj/mol, 2nd: 3952.3 kj/mol, 3rd: 6122 kj/mol, (more)",58,154,face-centered cubic (fcc),435,49.1×10?3 w/(m·k),diamagnetic,7440-01-9,,,"iso, na, half-life, dm, de (mev), dp, 20ne, 90.48%, 20ne is stable with 10 neutrons, 21ne, 0.27%, 21ne is stable with 11 neutrons, 22ne, 9.25%, 22ne is stable with 12 neutrons",12,,,,,,,,,,654,,,,,,,,,,,william ramsay (1897),william ramsay & morris travers (1898),,,,,,,,,,,
